"","V1"
"inaug_JohnFKennedy_1_2",15
"inaug_JohnFKennedy_1_3",15
"inaug_JohnFKennedy_1_4",15
"inaug_JohnFKennedy_1_5",15
"inaug_JohnFKennedy_1_6",11
"inaug_JohnFKennedy_1_7",11
"inaug_JohnFKennedy_1_8",6
"inaug_JohnFKennedy_1_9",6
"inaug_JohnFKennedy_1_10",14
"inaug_JohnFKennedy_1_11",14
"inaug_JohnFKennedy_1_12",14
"inaug_JohnFKennedy_1_13",14
"inaug_JohnFKennedy_1_14",14
"inaug_JohnFKennedy_1_15",14
"inaug_JohnFKennedy_1_16",14
"inaug_JohnFKennedy_1_17",14
"inaug_JohnFKennedy_1_18",1
"inaug_JohnFKennedy_1_19",1
"inaug_JohnFKennedy_1_20",11
"inaug_JohnFKennedy_1_21",14
"inaug_JohnFKennedy_1_22",14
"inaug_JohnFKennedy_1_23",14
"inaug_JohnFKennedy_1_24",14
"inaug_JohnFKennedy_1_25",14
"inaug_JohnFKennedy_1_26",14
"inaug_JohnFKennedy_1_27",7
"inaug_JohnFKennedy_1_28",7
"inaug_JohnFKennedy_1_29",7
"inaug_JohnFKennedy_1_30",7
"inaug_JohnFKennedy_1_31",14
"inaug_JohnFKennedy_1_32",14
"inaug_JohnFKennedy_1_33",14
"inaug_JohnFKennedy_1_34",14
"inaug_JohnFKennedy_1_35",14
"inaug_JohnFKennedy_1_36",14
"inaug_JohnFKennedy_1_38",14
"inaug_JohnFKennedy_1_39",14
"inaug_JohnFKennedy_1_40",14
"inaug_JohnFKennedy_1_41",13
"inaug_JohnFKennedy_1_42",5
"inaug_JohnFKennedy_1_43",4
"inaug_JohnFKennedy_1_44",1
"inaug_JohnFKennedy_1_45",1
"inaug_JohnFKennedy_1_46",1
"inaug_JohnFKennedy_1_47",1
"inaug_JohnFKennedy_1_48",1
"inaug_JohnFKennedy_1_49",2
"inaug_JohnFKennedy_1_50",10
"inaug_JohnFKennedy_1_51",9
"inaug_JohnFKennedy_1_52",10
"inaug_JohnFKennedy_1_53",9
"inaug_JohnFKennedy_1_54",15
"inaug_JohnFKennedy_1_55",15
"inaug_RichardNixon_1_2",15
"inaug_RichardNixon_1_3",15
"inaug_RichardNixon_1_4",15
"inaug_RichardNixon_1_5",15
"inaug_RichardNixon_1_6",15
"inaug_RichardNixon_1_7",6
"inaug_RichardNixon_1_8",6
"inaug_RichardNixon_1_9",13
"inaug_RichardNixon_1_10",6
"inaug_RichardNixon_1_11",6
"inaug_RichardNixon_1_12",6
"inaug_RichardNixon_1_13",6
"inaug_RichardNixon_1_14",6
"inaug_RichardNixon_1_15",6
"inaug_RichardNixon_1_16",6
"inaug_RichardNixon_1_17",6
"inaug_RichardNixon_1_18",1
"inaug_RichardNixon_1_19",6
"inaug_RichardNixon_1_20",6
"inaug_RichardNixon_1_21",6
"inaug_RichardNixon_1_22",7
"inaug_RichardNixon_1_23",6
"inaug_RichardNixon_1_24",2
"inaug_RichardNixon_1_25",1
"inaug_RichardNixon_1_26",9
"inaug_RichardNixon_1_27",2
"inaug_RichardNixon_1_28",2
"inaug_RichardNixon_1_29",1
"inaug_RichardNixon_1_30",4
"inaug_RichardNixon_1_31",7
"inaug_RichardNixon_1_32",7
"inaug_RichardNixon_1_33",7
"inaug_RichardNixon_1_34",7
"inaug_RichardNixon_1_35",9
"inaug_RichardNixon_1_36",9
"inaug_RichardNixon_1_37",9
