"","V1"
"inaug_DwightDEisenhower_1_2",10
"inaug_DwightDEisenhower_1_3",9
"inaug_DwightDEisenhower_1_4",9
"inaug_DwightDEisenhower_1_5",9
"inaug_DwightDEisenhower_1_6",9
"inaug_DwightDEisenhower_1_7",9
"inaug_DwightDEisenhower_1_8",10
"inaug_DwightDEisenhower_1_9",10
"inaug_DwightDEisenhower_1_10",10
"inaug_DwightDEisenhower_1_11",10
"inaug_DwightDEisenhower_1_12",10
"inaug_DwightDEisenhower_1_13",5
"inaug_DwightDEisenhower_1_14",5
"inaug_DwightDEisenhower_1_15",11
"inaug_DwightDEisenhower_1_16",12
"inaug_DwightDEisenhower_1_17",12
"inaug_DwightDEisenhower_1_18",9
"inaug_DwightDEisenhower_1_19",6
"inaug_DwightDEisenhower_1_20",14
"inaug_DwightDEisenhower_1_21",14
"inaug_DwightDEisenhower_1_22",8
"inaug_DwightDEisenhower_1_23",8
"inaug_DwightDEisenhower_1_24",14
"inaug_DwightDEisenhower_1_25",14
"inaug_DwightDEisenhower_1_26",1
"inaug_DwightDEisenhower_1_27",4
"inaug_DwightDEisenhower_1_28",4
"inaug_DwightDEisenhower_1_29",4
"inaug_DwightDEisenhower_1_30",4
"inaug_DwightDEisenhower_1_31",4
"inaug_DwightDEisenhower_1_32",2
"inaug_DwightDEisenhower_1_33",14
"inaug_DwightDEisenhower_1_34",7
"inaug_DwightDEisenhower_1_35",15
"inaug_DwightDEisenhower_1_36",13
"inaug_DwightDEisenhower_1_37",9
"inaug_DwightDEisenhower_1_38",9
"inaug_DwightDEisenhower_1_39",14
"inaug_DwightDEisenhower_1_40",15
"inaug_DwightDEisenhower_1_41",15
"inaug_DwightDEisenhower_1_42",15
"inaug_DwightDEisenhower_1_43",9
"inaug_DwightDEisenhower_1_44",9
"inaug_DwightDEisenhower_1_45",9
"inaug_DwightDEisenhower_1_46",5
"inaug_DwightDEisenhower_1_47",14
"inaug_DwightDEisenhower_1_48",8
"inaug_DwightDEisenhower_1_49",9
"inaug_DwightDEisenhower_1_50",9
"inaug_DwightDEisenhower_1_51",9
"inaug_DwightDEisenhower_1_52",2
"inaug_DwightDEisenhower_1_53",8
"inaug_DwightDEisenhower_1_54",8
"inaug_DwightDEisenhower_1_55",4
"inaug_DwightDEisenhower_1_56",4
"inaug_DwightDEisenhower_1_57",9
"inaug_DwightDEisenhower_1_58",11
"inaug_DwightDEisenhower_1_59",9
"inaug_DwightDEisenhower_1_60",11
"inaug_DwightDEisenhower_1_61",11
"inaug_DwightDEisenhower_1_62",11
"inaug_DwightDEisenhower_1_63",4
"inaug_DwightDEisenhower_1_64",4
"inaug_DwightDEisenhower_1_65",4
"inaug_DwightDEisenhower_1_66",4
"inaug_DwightDEisenhower_1_67",5
"inaug_DwightDEisenhower_1_68",11
"inaug_DwightDEisenhower_1_69",5
"inaug_DwightDEisenhower_1_70",5
"inaug_DwightDEisenhower_1_71",9
"inaug_DwightDEisenhower_1_72",5
"inaug_DwightDEisenhower_1_73",5
"inaug_DwightDEisenhower_1_74",8
"inaug_DwightDEisenhower_1_75",11
"inaug_DwightDEisenhower_1_76",11
"inaug_DwightDEisenhower_1_77",11
"inaug_DwightDEisenhower_1_78",5
"inaug_DwightDEisenhower_1_79",8
"inaug_DwightDEisenhower_1_80",8
"inaug_DwightDEisenhower_1_81",8
"inaug_DwightDEisenhower_1_82",8
"inaug_DwightDEisenhower_1_83",11
"inaug_DwightDEisenhower_1_85",11
"inaug_DwightDEisenhower_1_86",11
"inaug_DwightDEisenhower_1_88",11
"inaug_DwightDEisenhower_1_89",11
"inaug_DwightDEisenhower_1_91",11
"inaug_DwightDEisenhower_1_93",11
"inaug_DwightDEisenhower_1_94",11
"inaug_DwightDEisenhower_1_96",11
"inaug_DwightDEisenhower_1_97",11
"inaug_DwightDEisenhower_1_99",11
"inaug_DwightDEisenhower_1_100",11
"inaug_DwightDEisenhower_1_101",11
"inaug_DwightDEisenhower_1_102",11
"inaug_DwightDEisenhower_1_103",11
"inaug_DwightDEisenhower_1_105",11
"inaug_DwightDEisenhower_1_106",11
"inaug_DwightDEisenhower_1_108",11
"inaug_DwightDEisenhower_1_109",11
"inaug_DwightDEisenhower_1_110",4
"inaug_DwightDEisenhower_1_111",9
"inaug_DwightDEisenhower_1_112",8
"inaug_DwightDEisenhower_1_113",8
"inaug_DwightDEisenhower_1_114",4
"inaug_DwightDEisenhower_1_115",1
"inaug_DwightDEisenhower_1_116",2
"inaug_DwightDEisenhower_1_117",6
"inaug_DwightDEisenhower_1_118",8
"inaug_DwightDEisenhower_1_119",9
"inaug_DwightDEisenhower_1_120",1
"inaug_DwightDEisenhower_1_121",4
"inaug_DwightDEisenhower_1_122",4
"inaug_DwightDEisenhower_1_123",4
"inaug_DwightDEisenhower_1_124",4
"inaug_DwightDEisenhower_1_125",4
"inaug_DwightDEisenhower_1_126",9
"inaug_DwightDEisenhower_1_127",9
"inaug_DwightDEisenhower_1_128",9
"inaug_DwightDEisenhower_1_129",8
"inaug_DwightDEisenhower_1_130",8
"inaug_DwightDEisenhower_1_131",1
"inaug_DwightDEisenhower_1_132",10
"inaug_DwightDEisenhower_1_133",9
"inaug_DwightDEisenhower_2_2",10
"inaug_DwightDEisenhower_2_3",10
"inaug_DwightDEisenhower_2_4",10
"inaug_DwightDEisenhower_2_5",10
"inaug_DwightDEisenhower_2_6",10
"inaug_DwightDEisenhower_2_7",11
"inaug_DwightDEisenhower_2_8",9
"inaug_DwightDEisenhower_2_9",1
"inaug_DwightDEisenhower_2_10",9
"inaug_DwightDEisenhower_2_11",9
"inaug_DwightDEisenhower_2_12",9
"inaug_DwightDEisenhower_2_13",9
"inaug_DwightDEisenhower_2_14",9
"inaug_DwightDEisenhower_2_15",2
"inaug_DwightDEisenhower_2_16",2
"inaug_DwightDEisenhower_2_17",9
"inaug_DwightDEisenhower_2_18",14
"inaug_DwightDEisenhower_2_19",14
"inaug_DwightDEisenhower_2_20",14
"inaug_DwightDEisenhower_2_21",11
"inaug_DwightDEisenhower_2_22",6
"inaug_DwightDEisenhower_2_23",11
"inaug_DwightDEisenhower_2_24",11
"inaug_DwightDEisenhower_2_25",11
"inaug_DwightDEisenhower_2_26",8
"inaug_DwightDEisenhower_2_27",8
"inaug_DwightDEisenhower_2_28",12
"inaug_DwightDEisenhower_2_29",9
"inaug_DwightDEisenhower_2_30",5
"inaug_DwightDEisenhower_2_31",5
"inaug_DwightDEisenhower_2_32",6
"inaug_DwightDEisenhower_2_33",1
"inaug_DwightDEisenhower_2_34",9
"inaug_DwightDEisenhower_2_35",11
"inaug_DwightDEisenhower_2_36",11
"inaug_DwightDEisenhower_2_37",1
"inaug_DwightDEisenhower_2_38",5
"inaug_DwightDEisenhower_2_39",14
"inaug_DwightDEisenhower_2_40",5
"inaug_DwightDEisenhower_2_41",7
"inaug_DwightDEisenhower_2_42",13
"inaug_DwightDEisenhower_2_43",7
"inaug_DwightDEisenhower_2_44",13
