"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","freedom","will","american","can","world","govern","let","know","america","today","nation","new","time","man","one"
"2","hope","work","everi","now","peac","peopl","nation","seek","faith","year","free","great","chang","call","make"
"3","human","act","must","stand","come","must","togeth","other","may","fellow","peopl","respons","centuri","men","live"
"4","forc","economi","promis","need","america","time","can","must","dream","presid","upon","spirit","liberti","earth","equal"
"5","caus","care","land","even","war","power","law","principl","purpos","good","help","old","day","place","right"
"6","histori","requir","generat","achiev","share","less","strong","way","differ","citizen","shall","build","histori","see","life"
"7","progress","alon","america","done","last","futur","made","believ","heart","moment","never","better","justic","across","well"
"8","choic","school","mean","question","end","much","forward","face","countri","yet","unit","home","union","destini","journey"
"9","interest","famili","citizen","long","friend","reduc","resolv","among","god","god","common","meet","american","light","voic"
"10","confid","sacrific","ideal","problem","continu","societi","digniti","weapon","renew","countri","honor","reach","declar","dark","commit"
"11","want","children","children","join","system","beyond","respect","strength","courag","begin","freedom","turn","two","small","anoth"
"12","greater","lead","democraci","answer","stori","tax","best","still","clear","oath","strength","opportun","demand","divis","find"
"13","individu","reform","give","prosper","preserv","take","learn","use","believ","first","secur","past","say","women","valu"
"14","defend","grow","endur","look","bring","protect","goal","million","rule","ago","danger","task","year","knowledg","thing"
"15","came","now","challeng","mani","new","just","arm","fear","true","celebr","strive","nation","advanc","far","love"
"16","power","come","charact","defens","role","feder","move","possibl","hold","ask","econom","remain","age","life","speak"
"17","long","support","just","longer","long","person","rememb","nuclear","labor","just","trust","challeng","civil","bless","word"
"18","shape","play","enough","energi","divid","growth","weak","peopl","know","servic","hope","abroad","without","whose","like"
"19","given","vital","happi","crisi","greatest","creat","back","leader","truth","thank","tri","way","third","father","full"
"20","uniti","health","duti","product","forc","state","right","threat","pass","think","rest","bold","vision","beyond","quiet"
